	FIPS State Code	FIPS County Code	medinc_23p1	medinc_23p2	medinc_23p3	medinc_23p4	medinc_23p5	medinc_23p6	medinc_23p7	medinc_23p8
0	39	1	54900	62800	70600	78400	84700	91000	97300	103500
1	39	133	60800	69500	78200	86800	93800	100700	107700	114600
2	39	153	60800	69500	78200	86800	93800	100700	107700	114600
3	39	5	55600	63500	71400	79300	85700	92000	98400	104700
4	39	7	54900	62800	70600	78400	84700	91000	97300	103500
5	39	9	55600	63500	71400	79300	85700	92000	98400	104700
6	39	11	65200	74500	83800	93100	100600	108000	115500	122900
7	39	15	54900	62800	70600	78400	84700	91000	97300	103500
8	39	19	57000	65200	73300	81400	88000	94500	101000	107500
9	39	151	57000	65200	73300	81400	88000	94500	101000	107500
10	39	21	58200	66500	74800	83100	89800	96400	103100	109700
11	39	17	70800	80900	91000	101100	109200	117300	125400	133500
12	39	25	70800	80900	91000	101100	109200	117300	125400	133500
13	39	61	70800	80900	91000	101100	109200	117300	125400	133500
14	39	165	70800	80900	91000	101100	109200	117300	125400	133500
15	39	35	63300	72400	81400	90400	97700	104900	112100	119400
16	39	55	63300	72400	81400	90400	97700	104900	112100	119400
17	39	85	63300	72400	81400	90400	97700	104900	112100	119400
18	39	93	63300	72400	81400	90400	97700	104900	112100	119400
19	39	103	63300	72400	81400	90400	97700	104900	112100	119400
20	39	27	55000	62800	70700	78500	84800	91100	97400	103700
21	39	29	54900	62800	70600	78400	84700	91000	97300	103500
22	39	41	69500	79400	89300	99200	107200	115100	123100	131000
23	39	45	69500	79400	89300	99200	107200	115100	123100	131000
24	39	49	69500	79400	89300	99200	107200	115100	123100	131000
25	39	89	69500	79400	89300	99200	107200	115100	123100	131000
26	39	97	69500	79400	89300	99200	107200	115100	123100	131000
27	39	117	69500	79400	89300	99200	107200	115100	123100	131000
28	39	129	69500	79400	89300	99200	107200	115100	123100	131000
29	39	31	54900	62800	70600	78400	84700	91000	97300	103500
30	39	33	54900	62800	70600	78400	84700	91000	97300	103500
31	39	37	55000	62800	70700	78500	84800	91100	97400	103700
32	39	57	62300	71200	80100	89000	96200	103300	110400	117500
33	39	109	62300	71200	80100	89000	96200	103300	110400	117500
34	39	113	62300	71200	80100	89000	96200	103300	110400	117500
35	39	39	58200	66500	74800	83100	89800	96400	103100	109700
36	39	43	58100	66400	74700	82900	89600	96200	102800	109500
37	39	47	54900	62800	70600	78400	84700	91000	97300	103500
38	39	53	54900	62800	70600	78400	84700	91000	97300	103500
39	39	59	54900	62800	70600	78400	84700	91000	97300	103500
40	39	63	62700	71600	80600	89500	96700	103900	111000	118200
41	39	65	54900	62800	70600	78400	84700	91000	97300	103500
42	39	67	54900	62800	70600	78400	84700	91000	97300	103500
43	39	69	59300	67700	76200	84600	91400	98200	105000	111700
44	39	71	54900	62800	70600	78400	84700	91000	97300	103500
45	39	73	55000	62800	70700	78500	84800	91100	97400	103700
46	39	75	58800	67200	75600	83900	90700	97400	104100	110800
47	39	87	48500	55400	62300	69200	74800	80300	85900	91400
48	39	77	54900	62800	70600	78400	84700	91000	97300	103500
49	39	79	54900	62800	70600	78400	84700	91000	97300	103500
50	39	83	56000	64000	72000	79900	86300	92700	99100	105500
51	39	3	54900	62800	70600	78400	84700	91000	97300	103500
52	39	91	59100	67500	75900	84300	91100	97800	104600	111300
53	39	139	54900	62800	70600	78400	84700	91000	97300	103500
54	39	101	54900	62800	70600	78400	84700	91000	97300	103500
55	39	105	54900	62800	70600	78400	84700	91000	97300	103500
56	39	107	59700	68200	76700	85200	92100	98900	105700	112500
57	39	111	54900	62800	70600	78400	84700	91000	97300	103500
58	39	115	54900	62800	70600	78400	84700	91000	97300	103500
59	39	119	54900	62800	70600	78400	84700	91000	97300	103500
60	39	121	54900	62800	70600	78400	84700	91000	97300	103500
61	39	123	63000	72000	81000	89900	97100	104300	111500	118700
62	39	125	55600	63500	71400	79300	85700	92000	98400	104700
63	39	127	54900	62800	70600	78400	84700	91000	97300	103500
64	39	131	54900	62800	70600	78400	84700	91000	97300	103500
65	39	135	58400	66700	75000	83300	90000	96700	103300	110000
66	39	137	65600	75000	84400	93700	101200	108700	116200	123700
67	39	141	54900	62800	70600	78400	84700	91000	97300	103500
68	39	143	55200	63100	71000	78800	85200	91500	97800	104100
69	39	145	54900	62800	70600	78400	84700	91000	97300	103500
70	39	147	54900	62800	70600	78400	84700	91000	97300	103500
71	39	149	63700	72800	81900	90900	98200	105500	112800	120000
72	39	23	54900	62800	70600	78400	84700	91000	97300	103500
73	39	51	57700	66000	74200	82400	89000	95600	102200	108800
74	39	95	57700	66000	74200	82400	89000	95600	102200	108800
75	39	173	57700	66000	74200	82400	89000	95600	102200	108800
76	39	157	55600	63500	71400	79300	85700	92000	98400	104700
77	39	159	81700	93300	105000	116600	126000	135300	144600	154000
78	39	161	54900	62800	70600	78400	84700	91000	97300	103500
79	39	163	54900	62800	70600	78400	84700	91000	97300	103500
80	39	167	54900	62800	70600	78400	84700	91000	97300	103500
81	39	169	58000	66300	74600	82800	89500	96100	102700	109300
82	39	81	54900	62800	70600	78400	84700	91000	97300	103500
83	39	13	54300	62000	69800	77500	83700	89900	96100	102300
84	39	171	54900	62800	70600	78400	84700	91000	97300	103500
85	39	175	55400	63300	71200	79100	85500	91800	98100	104500
86	39	99	54900	62800	70600	78400	84700	91000	97300	103500
87	39	155	54900	62800	70600	78400	84700	91000	97300	103500
